Reference,DOI,Final_Alginate_Conc_(%w/v),Final_Gelatin_Conc_(%w/v),Final_GelMA_Conc_(%w/v),Final_Hyaluronic_Acid_Conc_(%w/v),Final_MeHA_Conc_(%w/v),Final_NorHA_Conc_(%w/v),Final_Fibroin/Fibrinogen_Conc_(%w/v),Final_P127_Conc_(%w/v),Final_Collagen_Conc_(%w/v),Final_Chitosan_Conc_(%w/v),Final_CS-AEMA_Conc_(%w/v),Final_TCP_Conc_(%w/v),Final_Gellan_Conc_(%w/v),Final_Nano/Methycellulose_Conc_(%w/v),Final_PEGTA_Conc_(%w/v),Final_PEGMA_Conc_(%w/v),Final_PEGDA_Conc_(%w/v),Final_Agarose_Conc_(%w/v),CaCl2_Conc_(mM),NaCl2_Conc_(mM),BaCl2_Conc_(mM),SrCl2_Conc_(mM),Physical_Crosslinking_Durantion_(s),Photocrosslinking_Duration_(s),Extrusion_Pressure (kPa),Extrusion_Rate_Lengthwise_(mm/s),Extrusion_Rate_Volume-wise_(mL/s),Nozzle_Movement_Speed_(mm/s),Inner_Nozzle_Outer_Diameter_(µm),Outer_Nozzle_Inner_Diameter_(µm),Fiber_Diameter_(µm),Fiber_Spacing_(µm),Cell_Density_(cells/mL),Syringe_Temperature_(°C),Substrate_Temperature_(°C),Days_Observed,Cell_Culture_Medium_Used?,DI_Water_Used?,Precrosslinking_Solution_Used?,Saline_Solution_Used?,EtOH_Solution_Used?,Photoinitiator_Used?,Enzymatic_Crosslinker_Used?,Matrigel_Used?,Conical_or_Straight_Nozzle,Primary/Not_Primary,Viability_at_time_of_observation_(%),Acceptable_Viability_(Yes/No),Acceptable_Pressure_(Yes/No)
Yin et al. 2018,10.1021/acsami.7b16059,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,5,,5,0,260,462.65,750,5000000,20,3.5,0,N,Y,N,Y,N,Y,N,N,S,Primary,62.7,N,N
Yin et al. 2018,10.1021/acsami.7b16059,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,5,,5,0,260,460.74,750,5000000,20,3.5,3,N,Y,N,Y,N,Y,N,N,S,Primary,67.9,N,N
Yin et al. 2018,10.1021/acsami.7b16059,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,150,5,,5,0,260,542.53,750,5000000,20,3.5,7,N,Y,N,Y,N,Y,N,N,S,Primary,70.4,N,N
Liu et al. 2017,10.1002/adhm.201601451,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,1.666666667,6.666666667,0,210,636.51,,4000000,21,21,1,N,N,N,Y,N,Y,N,N,C,Primary,88.7,Y,Y
Liu et al. 2017,10.1002/adhm.201601451,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,1.666666667,6.666666667,0,210,608.85,,4000000,21,21,1,N,N,N,Y,N,Y,N,N,C,Primary,85.8,Y,Y
Liu et al. 2017,10.1002/adhm.201601451,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,1.666666667,6.666666667,0,210,648.04,,4000000,21,21,1,N,N,N,Y,N,Y,N,N,C,Primary,85.1,Y,Y
Liu et al. 2017,10.1002/adhm.201601451,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,1.666666667,6.666666667,0,210,,,4000000,21,21,7,N,N,N,Y,N,Y,N,N,C,Primary,91,Y,Y
Liu et al. 2017,10.1002/adhm.201601451,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,1.666666667,6.666666667,0,210,,,4000000,21,21,7,N,N,N,Y,N,Y,N,N,C,Primary,90.3,Y,Y
Liu et al. 2017,10.1002/adhm.201601451,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,1.666666667,6.666666667,0,210,,,4000000,21,21,7,N,N,N,Y,N,Y,N,N,C,Primary,89.3,Y,Y
Liu et al. 2017,10.1002/adhm.201601451,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,1.666666667,6.666666667,0,210,,,4000000,21,21,1,N,N,N,Y,N,Y,N,N,S,Primary,75.1,N,N
Liu et al. 2017,10.1002/adhm.201601451,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,1.666666667,6.666666667,0,210,,,4000000,21,21,1,N,N,N,Y,N,Y,N,N,S,Primary,73.7,N,N
Liu et al. 2017,10.1002/adhm.201601451,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,,,1.666666667,6.666666667,0,210,,,4000000,21,21,1,N,N,N,Y,N,Y,N,N,S,Primary,69,N,N
Lim et al. 2020,10.1002/adhm.201901792,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,220,,,12,0,337,294.71,1000,20000000,18,22,1,N,N,N,Y,N,Y,N,N,S,Primary,98.1,Y,Y
Lim et al. 2020,10.1002/adhm.201901792,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,220,,,12,0,337,419,1000,20000000,18,22,7,N,N,N,Y,N,Y,N,N,S,Primary,96.2,Y,Y
Lim et al. 2020,10.1002/adhm.201901792,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,220,,,12,0,337,281.83,1000,20000000,18,22,1,N,N,N,Y,N,Y,N,N,S,Primary,90,Y,Y
Lim et al. 2020,10.1002/adhm.201901792,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,220,,,12,0,337,409,1000,20000000,18,22,7,N,N,N,Y,N,Y,N,N,S,Primary,87.6,Y,Y
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,3,,15,0,838,1553.07,,2000000,22.5,22.5,1,N,N,N,Y,N,Y,N,N,C,Not_Primary,72.9,N,N
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,3,,15,0,838,1687.146,,2000000,22.5,22.5,3,N,N,N,Y,N,Y,N,N,C,Not_Primary,73.3,N,N
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,3,,15,0,838,1675.869,,2000000,22.5,22.5,7,N,N,N,Y,N,Y,N,N,C,Not_Primary,87,Y,Y
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,,3,,15,0,838,1300.498,,2000000,22.5,22.5,1,N,N,N,Y,N,Y,N,N,C,Not_Primary,70.3,N,N
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,,3,,15,0,838,1233.966,,2000000,22.5,22.5,3,N,N,N,Y,N,Y,N,N,C,Not_Primary,70.3,N,N
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,,3,,15,0,838,1417.279,,2000000,22.5,22.5,7,N,N,N,Y,N,Y,N,N,C,Not_Primary,84.4,Y,Y
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,3,,15,0,838,1014.45,,2000000,22.5,22.5,1,N,N,N,Y,N,Y,N,N,C,Not_Primary,74.5,N,N
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,3,,15,0,838,1101.27,,2000000,22.5,22.5,3,N,N,N,Y,N,Y,N,N,C,Not_Primary,70.9,N,N
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,3,,15,0,838,1311.52,,2000000,22.5,22.5,7,N,N,N,Y,N,Y,N,N,C,Not_Primary,75.3,N,N
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,,3,,15,0,838,1373.11,,2000000,22.5,22.5,1,N,N,N,Y,N,Y,N,N,C,Not_Primary,71.5,N,N
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,,3,,15,0,838,1302.86,,2000000,22.5,22.5,3,N,N,N,Y,N,Y,N,N,C,Not_Primary,81.6,Y,Y
Tigner et al. 2020,10.1021/acs.biomac.9b01204,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210,,3,,15,0,838,1496.41,,2000000,22.5,22.5,7,N,N,N,Y,N,Y,N,N,C,Not_Primary,82.2,Y,Y
Soliman et al. 2020,10.1002/adhm.201901544,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,11.67,,,0,337,292.39,,5000000,10,10,1,N,N,N,Y,N,Y,N,N,S,Primary,80.7,Y,Y
Soliman et al. 2020,10.1002/adhm.201901544,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,11.67,,,0,337,357.32,,5000000,10,10,7,N,N,N,Y,N,Y,N,N,S,Primary,85.6,Y,Y
Soliman et al. 2020,10.1002/adhm.201901544,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,11.67,,,0,337,291.28,,5000000,10,10,1,N,N,N,Y,N,Y,N,N,S,Primary,75.3,N,N
Soliman et al. 2020,10.1002/adhm.201901544,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,,11.67,,,0,337,297.81,,5000000,10,10,7,N,N,N,Y,N,Y,N,N,S,Primary,82.3,Y,Y
Shin et al. 2019,10.1016/j.actbio.2018.10.028,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,933.48,964.53,1361.1,5000000,,22,0.020833333,N,N,N,Y,N,N,N,N,C,Not_Primary,95.9,Y,Y
Shin et al. 2019,10.1016/j.actbio.2018.10.028,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,933.48,896.94,1361.1,5000000,,22,0.041666667,N,N,N,Y,N,N,N,N,C,Not_Primary,78.6,N,N
Shin et al. 2019,10.1016/j.actbio.2018.10.028,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,933.48,1062.05,1361.1,5000000,,22,0.083333333,N,N,N,Y,N,N,N,N,C,Not_Primary,80.1,Y,Y
Shin et al. 2019,10.1016/j.actbio.2018.10.028,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,933.48,1116.13,1361.1,5000000,,22,1,N,N,N,Y,N,N,N,N,C,Not_Primary,73.6,N,N
Shin et al. 2019,10.1016/j.actbio.2018.10.028,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,933.48,1283.87,1361.1,5000000,,22,2,N,N,N,Y,N,N,N,N,C,Not_Primary,71.6,N,N
Shin et al. 2019,10.1016/j.actbio.2018.10.028,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,933.48,1670.97,1361.1,5000000,,22,3,N,N,N,Y,N,N,N,N,C,Not_Primary,87.1,Y,Y
Shin et al. 2019,10.1016/j.actbio.2018.10.028,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,933.48,2400,1361.1,5000000,,22,4,N,N,N,Y,N,N,N,N,C,Not_Primary,84.6,Y,Y
Shin et al. 2019,10.1016/j.actbio.2018.10.028,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,933.48,2922.58,1361.1,5000000,,22,6,N,N,N,Y,N,N,N,N,C,Not_Primary,93,Y,Y
Chen et al. 2019,10.1021/acsami.9b09782,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,0.000833,5,0,210,152.96,,1000000,37,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,89.5,Y,Y
Chen et al. 2019,10.1021/acsami.9b09782,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,0.000833,5,0,210,152.96,,1000000,37,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,83.3,Y,Y
Chen et al. 2019,10.1021/acsami.9b09782,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,0.000833,5,0,210,152.96,,1000000,37,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,76,N,N
Chen et al. 2019,10.1021/acsami.9b09782,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,0.000833,5,0,210,152.96,,1000000,37,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,86.4,Y,Y
Chen et al. 2019,10.1021/acsami.9b09782,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,0.000833,5,0,210,152.96,,1000000,37,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,78.6,N,N
Chen et al. 2019,10.1021/acsami.9b09782,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,0.000833,5,0,210,152.96,,1000000,37,22,0,N,N,N,Y,N,N,N,N,S,Not_Primary,69.1,N,N
Cidonio et al. 2019,10.1088/1758-5090/ab19fd,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,,,9.167,0,300,,1000,5000000,20.5,22,1,N,N,N,N,N,Y,N,N,S,Primary,88.4,Y,Y
Cidonio et al. 2019,10.1088/1758-5090/ab19fd,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,,,9.167,0,300,,1000,5000000,20.5,22,7,N,N,N,N,N,Y,N,N,S,Primary,95.88,Y,Y
Cidonio et al. 2019,10.1088/1758-5090/ab19fd,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,,,9.167,0,300,,1000,5000000,20.5,22,14,N,N,N,N,N,Y,N,N,S,Primary,86,Y,Y
Cidonio et al. 2019,10.1088/1758-5090/ab19fd,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,,,9.167,0,300,,1000,5000000,20.5,22,21,N,N,N,N,N,Y,N,N,S,Primary,55.3,N,N
Cidonio et al. 2019,10.1088/1758-5090/ab19fd,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,,,9.167,0,300,297.22,1000,5000000,20.5,22,1,N,N,N,N,N,Y,N,N,S,Primary,74.44,N,N
Cidonio et al. 2019,10.1088/1758-5090/ab19fd,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,,,9.167,0,300,297.22,1000,5000000,20.5,22,7,N,N,N,N,N,Y,N,N,S,Primary,76.12,N,N
Cidonio et al. 2019,10.1088/1758-5090/ab19fd,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,,,9.167,0,300,297.22,1000,5000000,20.5,22,14,N,N,N,N,N,Y,N,N,S,Primary,90.8,Y,Y
Cidonio et al. 2019,10.1088/1758-5090/ab19fd,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,,,,9.167,0,300,297.22,1000,5000000,20.5,22,21,N,N,N,N,N,Y,N,N,S,Primary,85,Y,Y
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,27.6,,,15,0,410,,2500,2000000,37,22,0,Y,Y,N,N,N,N,N,N,S,Primary,81,Y,Y
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,27.6,,,15,0,410,1401.869,2500,2000000,37,22,1,Y,Y,N,N,N,N,N,N,S,Primary,69.3,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,27.6,,,15,0,410,1561.572,2500,2000000,37,22,7,Y,Y,N,N,N,N,N,N,S,Primary,64.1,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1233.18,2500,2000000,37,22,1,Y,Y,N,N,N,N,N,N,S,Primary,69.4,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1251.31,2500,2000000,37,22,7,Y,Y,N,N,N,N,N,N,S,Primary,63.5,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1015.78,2500,2000000,37,22,1,Y,Y,N,N,N,N,N,N,S,Primary,61.1,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1074.07,2500,2000000,37,22,7,Y,Y,N,N,N,N,N,N,S,Primary,47.7,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,27.6,,,15,0,410,,2500,2000000,37,22,1,Y,Y,N,N,N,N,N,N,S,Primary,60.1,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,27.6,,,15,0,410,,2500,2000000,37,22,7,Y,Y,N,N,N,N,N,N,S,Primary,49.2,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,27.6,,,15,0,410,,2500,2000000,37,22,1,Y,Y,N,N,N,N,N,N,S,Primary,68.9,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,600,0,27.6,,,15,0,410,,2500,2000000,37,22,7,Y,Y,N,N,N,N,N,N,S,Primary,71.1,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1233.18,2500,2000000,37,22,1,Y,Y,N,N,N,N,N,N,S,Primary,60.1,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1251.31,2500,2000000,37,22,7,Y,Y,N,N,N,N,N,N,S,Primary,49.5,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1233.18,2500,2000000,37,22,1,Y,Y,N,N,N,N,N,N,S,Primary,77,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1251.31,2500,2000000,37,22,7,Y,Y,N,N,N,N,N,N,S,Primary,65.8,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1015.78,2500,2000000,37,22,1,Y,Y,N,N,N,N,N,N,S,Primary,58.1,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1074.07,2500,2000000,37,22,7,Y,Y,N,N,N,N,N,N,S,Primary,43.5,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1015.78,2500,2000000,37,22,1,Y,Y,N,N,N,N,N,N,S,Primary,62.6,N,N
Kolan et al. 2019,10.18063/ijb.v5i2.2.204,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,,0,27.6,,,15,0,410,1074.07,2500,2000000,37,22,7,Y,Y,N,N,N,N,N,N,S,Primary,56.9,N,N
Li et al. 2018 (a),10.1007/s13205-018-1341-9,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.3,0,0,0,180,0,,,0.15,3.5,0,260,234.14,,2000000,37,8,0,N,N,N,Y,N,N,N,N,S,Not_Primary,85.35,Y,Y
Li et al. 2018 (a),10.1007/s13205-018-1341-9,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.3,0,0,0,180,0,,,0.15,3.5,0,260,181.71,,2000000,37,8,7,N,N,N,Y,N,N,N,N,S,Not_Primary,88.88,Y,Y
Li et al. 2018 (a),10.1007/s13205-018-1341-9,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270.3,0,0,0,180,0,,,0.15,3.5,0,260,132.84,,2000000,37,8,14,N,N,N,Y,N,N,N,N,S,Not_Primary,92.34,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,0,0,0,600,0,280,,,6.5,0,340,568.017,2500,10000000,10,10,0,Y,N,N,N,N,N,N,N,S,Primary,91.9,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,0,0,0,600,0,280,,,6.5,0,340,,2500,10000000,10,10,1,Y,N,N,N,N,N,N,N,S,Primary,91.2,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,0,0,0,600,0,280,,,6.5,0,340,,2500,10000000,10,10,3,Y,N,N,N,N,N,N,N,S,Primary,87.8,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,0,0,0,600,0,280,,,6.5,0,340,,2500,10000000,10,10,7,Y,N,N,N,N,N,N,N,S,Primary,87.3,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,0,0,0,600,0,280,,,6.5,0,340,543.08,2500,10000000,10,10,14,Y,N,N,N,N,N,N,N,S,Primary,86.6,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,68,0,0,600,0,250,,,6.5,0,340,488.83,2500,10000000,10,10,0,Y,N,N,Y,N,N,N,N,S,Primary,92.3,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,68,0,0,600,0,250,,,6.5,0,340,,2500,10000000,10,10,1,Y,N,N,Y,N,N,N,N,S,Primary,90.8,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,68,0,0,600,0,250,,,6.5,0,340,,2500,10000000,10,10,3,Y,N,N,Y,N,N,N,N,S,Primary,87.3,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,68,0,0,600,0,250,,,6.5,0,340,,2500,10000000,10,10,7,Y,N,N,Y,N,N,N,N,S,Primary,86.2,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,68,0,0,600,0,250,,,6.5,0,340,574.24,2500,10000000,10,10,14,Y,N,N,Y,N,N,N,N,S,Primary,88.9,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,136,0,0,600,0,230,,,6.5,0,340,643.59,2500,10000000,10,10,0,Y,N,N,Y,N,N,N,N,S,Primary,91.9,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,136,0,0,600,0,230,,,6.5,0,340,,2500,10000000,10,10,1,Y,N,N,Y,N,N,N,N,S,Primary,89.9,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,136,0,0,600,0,230,,,6.5,0,340,,2500,10000000,10,10,3,Y,N,N,Y,N,N,N,N,S,Primary,86.9,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,136,0,0,600,0,230,,,6.5,0,340,,2500,10000000,10,10,7,Y,N,N,Y,N,N,N,N,S,Primary,85.5,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,136,0,0,600,0,230,,,6.5,0,340,651.22,2500,10000000,10,10,14,Y,N,N,Y,N,N,N,N,S,Primary,84.9,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,272,0,0,600,0,180,,,6.5,0,340,793.49,2500,10000000,10,10,0,Y,N,N,Y,N,N,N,N,S,Primary,91.5,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,272,0,0,600,0,180,,,6.5,0,340,,2500,10000000,10,10,1,Y,N,N,Y,N,N,N,N,S,Primary,90.3,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,272,0,0,600,0,180,,,6.5,0,340,,2500,10000000,10,10,3,Y,N,N,Y,N,N,N,N,S,Primary,87.9,Y,Y
Li et al. 2018 (b),10.1038/s41598-018-26407-3,8,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,901.1,272,0,0,600,0,180,,,6.5,0,340,,2500,10000000,10,10,7,Y,N,N,Y,N,N,N,N,S,Primary,85.5,Y,Y
